DATE,TOTAL_ENCOUNTERS,ABX_PRESCRIBED
2025-10-01,42,32
2025-10-02,38,28
2025-10-03,45,35
2025-10-04,41,31
2025-10-05,48,38
2025-10-06,44,33
2025-10-07,39,30
2025-10-08,51,40
2025-10-09,43,32
2025-10-10,47,36
2025-10-11,49,38
2025-10-12,42,32
2025-10-13,46,35
2025-10-14,40,30
2025-10-15,44,34
2025-10-16,50,39
2025-10-17,47,36
2025-10-18,53,42
2025-10-19,45,34
2025-10-20,51,40
2025-10-21,48,37
2025-10-22,44,33
2025-10-23,52,41
2025-10-24,49,38
2025-10-25,46,35
2025-10-26,50,39
2025-10-27,43,32
2025-10-28,48,37
2025-10-29,47,36
2025-10-30,51,40
2025-10-31,45,34
2025-11-01,49,38
2025-11-02,42,31
2025-11-03,46,35
2025-11-04,40,30
2025-11-05,44,33
2025-11-06,50,39
2025-11-07,47,36
2025-11-08,53,41
2025-11-09,45,34
2025-11-10,51,40
2025-11-11,48,37
2025-11-12,44,33
2025-11-13,52,40
2025-11-14,49,37
2025-11-15,46,35
2025-11-16,50,38
2025-11-17,43,32
2025-11-18,48,37
2025-11-19,47,35
2025-11-20,51,39
2025-11-21,45,33
2025-11-22,49,37
2025-11-23,42,31
2025-11-24,46,34
2025-11-25,40,29
2025-11-26,44,32
2025-11-27,50,38
2025-11-28,47,35
2025-11-29,53,40
2025-11-30,45,33
2025-12-01,51,39
2025-12-02,48,36
2025-12-03,44,32
2025-12-04,52,40
2025-12-05,49,37
2025-12-06,46,34
2025-12-07,50,37
2025-12-08,43,31
2025-12-09,48,36
2025-12-10,47,34
2025-12-11,51,38
2025-12-12,45,32
2025-12-13,49,36
2025-12-14,42,30
2025-12-15,46,33
2025-12-16,40,28
2025-12-17,44,31
2025-12-18,50,36
2025-12-19,47,33
2025-12-20,53,38
2025-12-21,45,31
2025-12-22,51,36
2025-12-23,48,33
2025-12-24,44,30
2025-12-25,42,28
2025-12-26,49,34
2025-12-27,46,31
2025-12-28,50,34
2025-12-29,43,29
2025-12-30,48,32
2025-12-31,47,31
2026-01-01,51,34
2026-01-02,45,30
2026-01-03,49,32
2026-01-04,42,27
2026-01-05,46,29
2026-01-06,40,25
2026-01-07,44,27
2026-01-08,50,31
2026-01-09,47,29
2026-01-10,53,33
2026-01-11,45,27
2026-01-12,51,30
2026-01-13,48,28
2026-01-14,44,25
2026-01-15,52,24
2026-01-16,49,22
2026-01-17,46,20
2026-01-18,50,21
2026-01-19,43,18
2026-01-20,48,19
2026-01-21,47,18
2026-01-22,51,20
2026-01-23,45,17
2026-01-24,49,18
2026-01-25,42,15
2026-01-26,46,16
2026-01-27,40,13
2026-01-28,44,14
2026-01-29,50,16
2026-01-30,47,15
2026-01-31,53,17
2026-02-01,45,14
2026-02-02,51,16
